slno,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material_involved,movement_type,history,label,event_date,rainfall_eligible,rainfall_mm,rainfall_raw,rainfall_status
23570,MIZ/KOL/2024/742,Mizoram,Kolasib,,,24.66895556,93.33700556,Debris,Slide,2 July 2024,1,2024-07-02,True,28.5,285.0,ok
23572,MIZ/KOL/2024/744,Mizoram,Kolasib,,,24.76606111,93.30076667,Earth,Slide,13 August 2024,1,2024-08-13,True,0.0,0.0,ok
23573,MIZ/KOL/2024/745,Mizoram,Kolasib,,,24.73838889,93.30909722,Debris,Slide,18 August 2024,1,2024-08-18,True,63.7,637.0,ok
23574,MIZ/KOL/2024/746,Mizoram,Kolasib,,,24.72074444,93.30899167,Debris,Slide,2 July 2024,1,2024-07-02,True,22.7,227.0,ok
23575,MIZ/KOL/2024/747,Mizoram,Kolasib,,,24.716225,93.32551389,Debris,Slide,18 August 2024,1,2024-08-18,True,63.7,637.0,ok
23576,MIZ/KOL/2024/748,Mizoram,Kolasib,,,24.70553333,93.33064167,Debris,Slide,28 September 2024,1,2024-09-28,True,0.3,3.0,ok
23577,MIZ/KOL/2024/749,Mizoram,Kolasib,,,24.60719444,93.46784722,Earth,Slide,19 August 2024,1,2024-08-19,True,15.2,152.0,ok
23578,MIZ/KOL/2024/750,Mizoram,Kolasib,,,24.60853333,93.41668333,Debris,Slide,18 August 2024,1,2024-08-18,True,46.8,468.0,ok
23580,MIZ/AZL/2024/752,Mizoram,Aizawl,,,23.09758333,93.21623333,Debris,Slide,2 July 2024,1,2024-07-02,True,12.5,125.0,ok
23581,MIZ/AZL/2024/753,Mizoram,Aizawl,,,23.10851389,93.20975,Debris,Slide,28 June 2024,1,2024-06-28,True,3.9,39.0,ok
23582,MIZ/AZL/2024/754,Mizoram,Aizawl,,,23.10172778,93.20231944,Debris,Complex,28 May 2024,1,2024-05-28,True,58.5,585.0,ok
23583,MIZ/AZL/2024/755,Mizoram,Aizawl,,,23.101925,93.20426111,Debris,Slide,2 July 2024,1,2024-07-02,True,10.0,100.0,ok
23584,MIZ/AZL/2024/756,Mizoram,Aizawl,,,23.10184722,93.20138889,Debris,Slide,28 September 2024,1,2024-09-28,True,0.0,0.0,ok
23587,MIZ/AZL/2024/759,Mizoram,Aizawl,,,23.09759444,93.21089444,Debris,Slide,2 July 2024,1,2024-07-02,True,12.5,125.0,ok
23588,MIZ/AZL/2024/760,Mizoram,Aizawl,,,23.09561111,93.20786389,Debris,Slide,28 May 2024,1,2024-05-28,True,52.5,525.0,ok
