event_date,latitude,longitude,state,district
2007-07-31,25.12186,92.388583,Meghalaya,Jaintia Hills
2007-07-31,25.134194,92.383528,Meghalaya,Jaintia Hills
2008-08-12,25.201,91.234,Meghalaya,West Khasi Hills
2008-08-10,25.20283,91.20908,Meghalaya,West Khasi Hills
2022-04-04,25.296,91.932,Meghalaya,East Khasi Hills
2009-06-29,25.300389,91.726722,Meghalaya,East Khasi Hills
2013-08-06,25.31458,91.45242,Meghalaya,South West Khasi Hills
2007-07-19,25.31488,91.44913,Meghalaya,West Khasi Hills
2007-07-19,25.31488,91.33367,Meghalaya,West Khasi Hills
2007-07-19,25.315176,91.923021,Meghalaya,East Khasi Hills
2007-07-19,25.31848,91.45262,Meghalaya,West Khasi Hills
2007-07-19,25.320833,91.9275,Meghalaya,East Khasi Hills
2007-06-16,25.38803,91.46977,Meghalaya,West Khasi Hills
2007-06-16,25.40023,91.5159,Meghalaya,West Khasi Hills
2007-08-18,25.4013,91.45855,Meghalaya,West Khasi Hills
2007-08-18,25.403061,90.724166,Meghalaya,South Garo hills
2007-08-18,25.40547,91.53712,Meghalaya,West Khasi Hills
2007-08-18,25.407917,91.998889,Meghalaya,East Khasi Hills
2007-08-18,25.425,91.405,Meghalaya,West Khasi Hills
2009-07-17,25.43561,91.862056,Meghalaya,Jaintia Hills
2007-07-17,25.44465,91.34622,Meghalaya,West Khasi Hills
2007-07-25,25.50335,91.28335,Meghalaya,West Khasi Hills
2007-07-19,25.50368056,91.72342222,Meghalaya,East Khasi Hills
2007-07-19,25.50667,91.28318,Meghalaya,West Khasi Hills
2007-07-27,25.51028,90.21678,Meghalaya,West Garo Hills
2007-07-25,25.51973,91.28443,Meghalaya,West Khasi Hills
2007-07-25,25.5208,91.25985,Meghalaya,West Khasi Hills
2009-07-01,25.54231,92.1,Meghalaya,East Khasi Hills
2009-07-01,25.54261,92.10867,Meghalaya,East Khasi Hills
2009-07-01,25.54261,92.09842,Meghalaya,Jaintia Hills
2009-07-01,25.54264,92.10214,Meghalaya,East Khasi Hills
2009-07-01,25.54328,92.10478,Meghalaya,East Khasi Hills
2007-09-08,25.56667,91.90194,Meghalaya,East Khasi Hills
2014-09-23,25.57822,91.86545,Meghalaya,East Khasi Hills
2024-05-27,25.6251,91.9118,Meghalaya,East Khasi Hills
2017-06-17,25.663444,91.915944,Meghalaya,Ri-Bhoi
2007-09-15,25.68625,91.118358,Meghalaya,West Khasi Hills
2007-09-15,25.687056,91.6485,Meghalaya,West Khasi Hills
2007-09-15,25.69483,91.11836,Meghalaya,West Khasi Hills
2007-09-15,25.695552,91.903777,Meghalaya,East Khasi Hills
2014-09-23,26.00294,91.86692,Meghalaya,Ri-Bhoi
2014-09-20,26.02547,91.87158,Meghalaya,Ri-Bhoi
2020-05-25,25.47704743,92.16831285,Meghalaya,West Jaintia Hills
2020-05-26,25.46307925,92.25426106,Meghalaya,West Jaintia Hills
2024-10-04,25.5667327,91.9146185,Meghalaya,East Khasi Hills
2020-06-26,25.28422636,92.11294194,Meghalaya,West Jaintia Hills
2020-05-26,25.2842285,92.11314877,Meghalaya,West Jaintia Hills
2024-06-15,25.29967,91.46108,Meghalaya,South West Khasi Hills
2024-06-17,25.29739,91.46201,Meghalaya,South West Khasi Hills
2024-07-06,25.781246,91.874475,Meghalaya,Ri-Bhoi
2025-05-30,25.422278,91.867694,Meghalaya,East Khasi Hills
2025-05-30,25.43480556,91.85952778,Meghalaya,East Khasi Hills
2025-05-30,25.48716667,91.81936111,Meghalaya,East Khasi Hills
2025-05-31,25.366201,91.767213,Meghalaya,East Khasi Hills
2025-05-31,25.355042,91.767525,Meghalaya,East Khasi Hills
2025-05-31,25.340415,91.774142,Meghalaya,East Khasi Hills
2010-08-27,25.57711111,91.88141667,Meghalaya,East Khasi Hills
2010-06-28,25.56183333,91.86855556,Meghalaya,East Khasi Hills
2010-06-28,25.57188889,91.90127778,Meghalaya,East Khasi Hills
2010-06-28,25.56852778,91.89219444,Meghalaya,East Khasi Hills
2010-04-22,25.13561111,92.3805,Meghalaya,Jaintia Hills
2010-04-22,25.13486111,92.382,Meghalaya,Jaintia Hills
2010-04-22,25.12383333,92.38519444,Meghalaya,Jaintia Hills
2010-04-22,25.07533333,92.36341667,Meghalaya,Jaintia Hills
2010-04-22,25.05108333,92.40219444,Meghalaya,Jaintia Hills
2010-04-22,25.04305556,92.42041667,Meghalaya,Jaintia Hills
2010-04-22,25.04222222,92.44127778,Meghalaya,Jaintia Hills
2011-06-26,25.67469444,91.88652778,Meghalaya,Ri-Bhoi
2019-07-10,25.56663056,91.91370556,Meghalaya,East Khasi Hills
2019-07-07,25.281,91.57330556,Meghalaya,East Khasi Hills
2019-06-27,25.23211111,91.37252778,Meghalaya,East Khasi Hills
2019-06-27,25.22194444,91.38422222,Meghalaya,East Khasi Hills
2019-06-27,25.18688889,91.39855556,Meghalaya,East Khasi Hills
2020-05-26,25.44233333,92.19447222,Meghalaya,West Jaintia Hills
2020-05-26,25.44177778,92.19558333,Meghalaya,West Jaintia Hills
2020-05-26,25.43630556,92.19525,Meghalaya,West Jaintia Hills
