slno,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material_involved,movement_type,history,label,event_date,rainfall_eligible,rainfall_mm,rainfall_raw,rainfall_status,elevation_m,slope_deg,aspect_deg
644,ASM/DH/83G4/ PD/2016/04,Assam,Dima Hasao (N.C. Hills),Mupa – Langting RF Rock slide,"NH 54, Mupa – Langting Reserved Forest,",25.41733333,93.12908333,Rock,Slide,22 May 2016,1,2016-05-22,True,0.3,3.0,ok,387.0,3.210280506236405,253.2446068645432
647,ASM/DH/83G04/2022-23/025,Assam,Dima Hasao,Tularam Raji Slide 2,"Tularam Raji, Haflong",25.16804,93.02503,Debris,Slide,14 May 2022,1,2022-05-14,True,66.9,669.0,ok,485.0,22.40055043431101,85.5000258176482
649,ASM/DH/83G04/2022-23/044,Assam,Dima Hasao,Tularam Raji Slide 3,"Tularam Raji, Haflong",25.168083,93.024922,Earth,Slide,14 May 2022,1,2022-05-14,True,66.9,669.0,ok,485.0,22.400557509193817,85.50002739801769
650,ASM/DH/83G4/ PD/2016/56,Assam,Dima Hasao (N.C. Hills),Nutan Lampur slide -2,"NH 54, near Nutan Lampur,",25.27480556,93.14555556,Rock,Slide,22 May 2016,1,2016-05-22,True,0.5,5.0,ok,497.0,14.853673897386862,336.1380095909914
651,ASM/DH/83G4/ PD/2016/53,Assam,Dima Hasao (N.C. Hills),Mahur railway station slide,"Mahur railway station, Haflong, Dima Hasao (NC Hills)",25.18955556,93.09641667,Debris,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok,535.0,24.01906447738133,11.565664278212893
654,ASM/KAMRUP(M)/78N16/2016- 17/62,Assam,Kamrup (Metro),Piyali Phukan Nagar Slide,"Njiura Par Path, Piyali Phukan Nagar, Guwahati.",26.19552778,91.78055556,Earth,Slide,22 June 2016,1,2016-06-22,True,8.7,87.0,ok,165.0,18.89727680503074,31.76356842391665
655,ASM/DH/83G04/2022-23/032,Assam,Dima Hasao,Moulhoi Slide 3,Moulhoi village,25.17483,93.019861,Debris,Slide,15 May 2022,1,2022-05-15,True,73.9,739.0,ok,650.0,32.70225009879591,103.10057606182568
656,ASM/DH/83G04/2022-23/033,Assam,Dima Hasao,Mahadev Tilla slide 2,Mahadev Tilla village,25.1568056,93.019722,Debris,Slide,13 May 2022,1,2022-05-13,True,74.8,748.0,ok,638.0,27.76280076081021,17.78343843396101
666,ASM/DH/83G04/2022-23/047,Assam,Dima Hasao,Natun Basti Slide 5,"Natun Basti, Haflong",25.162667,93.009806,Debris,Slide,14 May 2022,1,2022-05-14,True,66.9,669.0,ok,570.0,19.96337830840901,249.13832919163588
668,ASM/DH/83G4/ PD/2016 /01,Assam,Dima Hasao (N.C. Hills),Migrendisa slide,"Near Migrendisa Railway Station, Migrendisa.",25.17986111,93.07077778,Debris,Slide,17 May 2016,1,2016-05-17,True,116.3,1163.0,ok,512.0,4.801742482699243,39.65026340918259
669,ASM/DH/83G4/PD/2016/02,Assam,Dima Hasao (N.C. Hills),New Haflong R. S slide(1),West slope of New Haflong Railway Station.,25.14677778,93.03097222,Debris,Slide,17 May 2016,1,2016-05-17,True,116.3,1163.0,ok,483.0,23.56965703813817,100.67986140883322
